date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:25	73482/73482	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:22%20GMT	http://www.galgotiasuniversity.edu.in/p-associated-recruiters.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-associated-recruiters.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:26	60578/60578	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:25%20GMT	http://www.galgotiasuniversity.edu.in/p-placement-record.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-placement-record.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:28	73425/73425	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:26%20GMT	http://www.galgotiasuniversity.edu.in/p-recruiter-speak.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-recruiter-speak.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:29	59885/59885	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:27%20GMT	http://www.galgotiasuniversity.edu.in/p-student-development.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-student-development.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:31	62809/62809	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:29%20GMT	http://www.galgotiasuniversity.edu.in/p-student-gallery.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/p-student-gallery.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:32	61214/61214	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:29%20GMT	http://www.galgotiasuniversity.edu.in/best-private-university-in-ncr.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/best-private-university-in-ncr.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:34	57844/57844	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:32%20GMT	http://www.galgotiasuniversity.edu.in/about-gus-vision.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-gus-vision.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:35	60726/60726	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:33%20GMT	http://www.galgotiasuniversity.edu.in/about-gus-mission.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-gus-mission.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:37	63021/63021	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:35%20GMT	http://www.galgotiasuniversity.edu.in/about-management.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-management.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:38	70327/70327	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:37%20GMT	http://www.galgotiasuniversity.edu.in/about-management1.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-management1.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:41	64686/64686	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:39%20GMT	http://www.galgotiasuniversity.edu.in/about-management2.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-management2.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:41	61829/61829	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:40%20GMT	http://www.galgotiasuniversity.edu.in/about-management3.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-management3.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:42	59895/59895	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:41%20GMT	http://www.galgotiasuniversity.edu.in/about-logo-philosophy.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-logo-philosophy.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:45	65664/65664	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:43%20GMT	http://www.galgotiasuniversity.edu.in/about-government-recognition.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-government-recognition.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:46	58119/58119	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:43%20GMT	http://www.galgotiasuniversity.edu.in/about-professional-membership.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-professional-membership.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:48	66718/66718	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:46%20GMT	http://www.galgotiasuniversity.edu.in/about-awards-rankings.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-awards-rankings.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:48	62237/62237	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:46%20GMT	http://www.galgotiasuniversity.edu.in/about-mandatory-disclosure.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-mandatory-disclosure.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:50	58051/58051	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:48%20GMT	http://www.galgotiasuniversity.edu.in/about-NIRF-mandatory-disclosure.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-NIRF-mandatory-disclosure.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:51	66767/66767	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:49%20GMT	http://www.galgotiasuniversity.edu.in/about-student-clubs.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/about-student-clubs.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:53	66667/66667	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:50%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-dance-club-studio-d.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-dance-club-studio-d.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:54	66762/66762	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:52%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-soccer-league.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-soccer-league.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:56	61503/61503	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:54%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-nasa-club.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-nasa-club.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:58	63507/63507	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:56%20GMT	http://www.galgotiasuniversity.edu.in/galgotias-literary-society.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/galgotias-literary-society.html	(from http://www.galgotiasuniversity.edu.in/)
13:21:58	62623/62623	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20May%202017%2007:51:56%20GMT	http://www.galgotiasuniversity.edu.in/young-achievers.asp	C:/Users/Shivashish%20Ratnam/Desktop/scse-gu/gu/www.galgotiasuniversity.edu.in/young-achievers.html	(from http://www.galgotiasuniversity.edu.in/)
